Text,Created,Likes,Sentiment
"$FCEL  This might happen tomorrow: small-time traders, such as I am, who cashed a handful of their shares in 2020 to make their boat/car/vacation home payment have been waiting and are ready to sell now that 2021 is here for tax reasons. IF the hydrogen stocks rally tomorrow, shrugging the aforementioned sell-off incentives, the hydrogen economy will rally. Hold on. Hold on.",2021-01-04T06:26:52Z,13,
"$FCEL 
All  the government incentives for 2020 ev are allready posted 🤩🚀🚀",2021-01-04T06:21:10Z,132,
$FCEL What time EST can I see numbers moving. I’m a feen,2021-01-04T06:12:43Z,213,
$FCEL What’s the catalyst for this stock? Why should I DD this?,2021-01-04T06:05:04Z,77,{'basic': 'Bullish'}
$CBAT $FUV $FCEL $NNDM don&#39;t forget to load commons on these for a nice long term swing and once the energy sector picks up and ev,2021-01-04T05:55:47Z,859,{'basic': 'Bullish'}
"$FCEL Hey family 🙏🏾🌊🐉

A new device designed to help scientists study in detail what happens during electrochemical reactions has been developed by researchers at the Center for Innovation in New Energies (CINE)",2021-01-04T05:48:10Z,17392,{'basic': 'Bullish'}
$FCEL Repost with minor updates for tomorrow. I&#39;d like to see sideways trading,2021-01-04T05:45:26Z,33,
$DIS $FB $FCEL $FUTU $GE nice chart patterns some could go down a bit for a nice reversal,2021-01-04T05:45:00Z,859,{'basic': 'Bullish'}
$FCEL let’s go!!!!!,2021-01-04T04:58:08Z,201,{'basic': 'Bullish'}
"$SIRC Get in this before it hits $2-3 in the short term and in double digits over the next few years. This is a solid green energy company (installing and selling solar roofing panels) while getting into EV charging. The revenue is increasing exponentially and the sky is the limit. $TSLA $BLNK $FCEL $IEA   

Don’t believe me? Check out the following PR link:

https://www.newsfilecorp.com/release/66940",2021-01-04T04:32:23Z,528,{'basic': 'Bullish'}
